date,value
2006-07-22,3.526591
2006-08-22,3.180891
2006-09-22,3.252221
2006-10-22,3.611003
2006-11-22,3.565869
2006-12-22,4.306371
2007-01-22,5.088335
2007-02-22,2.81452
2007-03-23,2.985811
2007-04-23,3.20478
2007-05-23,3.127578
2007-06-23,3.270523
2007-07-23,3.73785082
2007-08-23,3.55877609
2007-09-23,3.77720173
2007-10-23,3.92449042
2007-11-23,4.38653092
2007-12-23,5.81054917
2008-01-23,6.19206769
2008-02-23,3.45085699
2008-03-22,3.77230686
2008-04-22,3.7343029
2008-05-22,3.90539892
2008-06-22,4.04968714
2008-07-22,4.31556552
2008-08-22,4.56218455
2008-09-22,4.60866203
2008-10-22,4.66785129
2008-11-22,5.09384145
2008-12-22,7.1799622
2009-01-22,6.73147308
2009-02-22,3.84127758
2009-03-22,4.39407557
2009-04-22,4.07534073
2009-05-22,4.5406449
2009-06-22,4.64561508
2009-07-22,4.75260653
2009-08-22,5.35060467
2009-09-22,5.20445484
2009-10-22,5.3016513
2009-11-22,5.77374216
2009-12-22,6.20459348
2010-01-22,6.74948382
2010-02-22,4.21606735
2010-03-22,4.94934946
2010-04-22,4.8230449
2010-05-22,5.19475419
2010-06-22,5.17078711
2010-07-22,5.25674157
2010-08-22,5.85527729
2010-09-22,5.49072901
2010-10-22,6.11529323
2010-11-22,6.08847284
2010-12-22,7.41659792
2011-01-22,8.32945212
2011-02-22,5.06979585
2011-03-23,5.26255667
2011-04-23,5.59712628
2011-05-23,6.110296
2011-06-23,5.68916084
2011-07-23,6.48684933
2011-08-23,6.30056933
2011-09-23,6.46747574
2011-10-23,6.82862939
2011-11-23,6.64907826
2011-12-23,8.60693721
2012-01-23,8.52447101
2012-02-23,5.27791837
2012-03-22,5.71430345
2012-04-22,6.21452908
2012-05-22,6.41192919
2012-06-22,6.66771564
2012-07-22,7.05083102
2012-08-22,6.70491861
2012-09-22,7.25098761
2012-10-22,7.81973318
2012-11-22,7.39810106
2012-12-22,10.09623339
2013-01-22,8.79851303
2013-02-22,5.91826076
2013-03-22,6.53449298
2013-04-22,6.67573561
2013-05-22,7.06420058
2013-06-22,7.38338118
2013-07-22,7.81349587
2013-08-22,7.43189221
2013-09-22,8.27511722
2013-10-22,8.26044138
2013-11-22,8.59615575
2013-12-22,10.55893902
2014-01-22,10.3914156
2014-02-22,6.42153456
2014-03-22,8.06261937
2014-04-22,7.2977391
2014-05-22,7.93691594
2014-06-22,8.16532298
2014-07-22,8.71742046
2014-08-22,9.07096378
2014-09-22,9.17711337
2014-10-22,9.25188674
2014-11-22,9.93313643
2014-12-22,11.53297428
2015-01-22,12.51146235
2015-02-22,7.45719853
2015-03-23,8.59119084
2015-04-23,8.47400037
2015-05-23,9.3868026
2015-06-23,9.56039945
2015-07-23,10.8342948
2015-08-23,10.64375083
2015-09-23,9.90816186
2015-10-23,11.7100413
2015-11-23,11.34015074
2015-12-23,12.07913184
2016-01-23,14.49758109
2016-02-23,8.04927477
2016-03-22,10.31289116
2016-04-22,9.75335821
2016-05-22,10.85038183
2016-06-22,9.96171916
2016-07-22,11.44360144
2016-08-22,11.65923889
2016-09-22,10.64705979
2016-10-22,12.65213444
2016-11-22,13.67446631
2016-12-22,12.96573509
2017-01-22,16.30026927
2017-02-22,9.05348536
2017-03-22,10.00244879
2017-04-22,10.78875007
2017-05-22,12.10670515
2017-06-22,10.95410107
2017-07-22,12.84456587
2017-08-22,12.19649985
2017-09-22,12.85474787
2017-10-22,13.54200436
2017-11-22,13.28764
2017-12-22,15.13491784
2018-01-22,16.82834968
2018-02-22,9.80021461
2018-03-22,10.81699371
2018-04-22,10.65422256
2018-05-22,12.51232269
2018-06-22,12.16120969
2018-07-22,12.9980462
2018-08-22,12.51727568
2018-09-22,13.26865761
2018-10-22,14.73362169
2018-11-22,13.66938174
2018-12-22,16.50396561
2019-01-22,18.00376795
2019-02-22,11.93802987
2019-03-23,12.9979001
2019-04-23,12.88264507
2019-05-23,13.94344681
2019-06-23,13.9894722
2019-07-23,15.33909742
2019-08-23,15.37076394
2019-09-23,16.142005
2019-10-23,16.685754
2019-11-23,17.636728
2019-12-23,18.869325
2020-01-23,20.778723
2020-02-23,12.154552
2020-03-22,13.402392
2020-04-22,14.459239
2020-05-22,14.795102
2020-06-22,15.705248
2020-07-22,15.82955
2020-08-22,17.554701
2020-09-22,18.100864
2020-10-22,17.496668
2020-11-22,19.347265
2020-12-22,20.031291
2021-01-22,23.486694
2021-02-22,12.536987
2021-03-22,15.467018
2021-04-22,14.233539
2021-05-22,17.783058
2021-06-22,16.291602
2021-07-22,16.980282
2021-08-22,18.612189
2021-09-22,16.623343
2021-10-22,21.430241
2021-11-22,23.575517
2021-12-22,23.334206
2022-01-22,28.038383
2022-02-22,16.763869
2022-03-22,19.792754
2022-04-22,16.427305
2022-05-22,21.000742
2022-06-22,20.681002
2022-07-22,21.83489
2022-08-22,23.93020353
2022-09-22,22.93035694
2022-10-22,23.26333992
2022-11-22,25.25003022
2022-12-22,25.80609
2023-01-22,29.665356
2023-02-22,21.654285
2023-03-23,18.264945
2023-04-23,23.107677
2023-05-23,22.91251
2023-06-23,19.43174
